epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.77996,0.69033,0.46646,0.87384,0.97566,0.96296,0.97521,0.7532,0.78502,0.70122,0.84111,0.00036,0.00036,0.00036
2,7.9463,0.65084,0.44917,0.86067,0.98751,0.9537,0.97435,0.77487,0.85372,0.47713,0.84831,0.000725348,0.000725348,0.000725348
3,13.0876,0.71865,0.48182,0.87335,0.95397,0.9537,0.96334,0.74872,0.67963,0.42723,0.80956,0.00107565,0.00107565,0.00107565
4,16.1332,0.69205,0.46423,0.87874,0.98111,0.96184,0.97557,0.7788,0.64733,0.38662,0.80728,0.0014109,0.0014109,0.0014109
5,19.1771,0.72985,0.47737,0.88899,0.9444,0.94368,0.97249,0.76199,0.79732,0.95561,0.84325,0.0017311,0.0017311,0.0017311
6,22.1635,0.72878,0.47502,0.87847,0.93934,0.9537,0.96719,0.74854,0.78326,0.78387,0.85025,0.001802,0.001802,0.001802
7,25.1229,0.76914,0.51178,0.88632,0.99035,0.95001,0.97325,0.74335,1.036,0.57999,0.91312,0.0017624,0.0017624,0.0017624
8,28.0317,0.71884,0.48928,0.88347,0.99042,0.95764,0.97651,0.76278,1.04668,0.48787,0.89563,0.0017228,0.0017228,0.0017228
9,30.7296,0.71072,0.47635,0.8754,0.93121,0.9537,0.9705,0.76115,1.00246,0.64035,0.89848,0.0016832,0.0016832,0.0016832
10,33.6718,0.71272,0.48668,0.8853,0.93621,0.89815,0.96443,0.76564,0.95338,0.77562,0.88184,0.0016436,0.0016436,0.0016436
11,36.6923,0.73866,0.48025,0.89304,0.98111,0.97222,0.97554,0.74572,0.99454,0.52799,0.89487,0.001604,0.001604,0.001604
12,39.6426,0.7039,0.46893,0.87781,0.93684,0.96296,0.9641,0.76365,0.95077,0.84821,0.89913,0.0015644,0.0015644,0.0015644
13,44.6285,0.74578,0.49548,0.90231,0.9203,0.96296,0.96473,0.76286,0.95014,0.47434,0.89322,0.0015248,0.0015248,0.0015248
14,47.5226,0.73585,0.47173,0.87433,0.9877,0.91667,0.9714,0.7506,0.94688,0.47471,0.89655,0.0014852,0.0014852,0.0014852
15,50.4331,0.70759,0.46986,0.86816,0.97113,0.9343,0.97232,0.76783,0.89348,0.44993,0.87944,0.0014456,0.0014456,0.0014456
16,53.4842,0.69767,0.44827,0.87351,0.99015,0.93115,0.97505,0.7892,0.78034,0.43952,0.84689,0.001406,0.001406,0.001406
17,56.4016,0.68518,0.44656,0.89023,0.99044,0.95906,0.97547,0.7906,0.90019,0.43982,0.86886,0.0013664,0.0013664,0.0013664
18,59.2803,0.68723,0.45281,0.88246,0.99801,0.96296,0.96734,0.79727,0.94333,0.43426,0.88098,0.0013268,0.0013268,0.0013268
19,62.1637,0.67666,0.43736,0.87787,0.99047,0.96262,0.97413,0.76358,0.93393,0.50978,0.88548,0.0012872,0.0012872,0.0012872
20,64.9638,0.69983,0.45956,0.86754,0.97444,0.94444,0.97071,0.77864,0.81032,0.62352,0.84781,0.0012476,0.0012476,0.0012476
21,67.7069,0.65689,0.436,0.87062,0.99639,0.96296,0.97236,0.7798,0.73631,0.43561,0.84118,0.001208,0.001208,0.001208
22,70.6007,0.65249,0.4366,0.85443,1,0.96212,0.97855,0.73469,0.73792,0.41018,0.84248,0.0011684,0.0011684,0.0011684
23,73.4243,0.66446,0.42964,0.86563,0.99569,0.96296,0.97824,0.80442,0.73423,0.40043,0.84033,0.0011288,0.0011288,0.0011288
24,78.9772,0.65953,0.42988,0.86174,1,0.96115,0.97069,0.80911,0.69464,0.38326,0.82071,0.0010892,0.0010892,0.0010892
25,81.7867,0.64283,0.42582,0.86946,0.9955,0.96296,0.97193,0.79559,0.66593,0.40504,0.81316,0.0010496,0.0010496,0.0010496
26,84.6786,0.65106,0.42211,0.86944,0.99029,0.9439,0.96906,0.79363,0.66554,0.47168,0.81346,0.00101,0.00101,0.00101
27,87.5723,0.6312,0.40796,0.86448,0.97159,0.96296,0.97434,0.79632,0.77569,0.55533,0.82726,0.0009704,0.0009704,0.0009704
28,90.4526,0.61016,0.39407,0.85114,0.99646,0.96296,0.97916,0.81726,0.68819,0.38109,0.79883,0.0009308,0.0009308,0.0009308
29,93.2177,0.63115,0.39752,0.85453,0.99829,0.96296,0.98044,0.80803,0.65351,0.36862,0.79687,0.0008912,0.0008912,0.0008912
30,96.0649,0.62378,0.39525,0.8575,0.99224,0.96296,0.97967,0.8023,0.86864,0.41063,0.8697,0.0008516,0.0008516,0.0008516
31,98.9395,0.6472,0.40117,0.87293,0.99648,0.96296,0.97918,0.81099,0.8941,0.45313,0.873,0.000812,0.000812,0.000812
32,101.818,0.60846,0.39288,0.85552,0.99804,0.96296,0.97961,0.82077,0.7804,0.39551,0.83847,0.0007724,0.0007724,0.0007724
33,104.797,0.60563,0.3826,0.8655,0.99818,0.96296,0.97674,0.80553,0.73474,0.42799,0.81067,0.0007328,0.0007328,0.0007328
34,109.935,0.58949,0.37623,0.84914,0.98919,0.97222,0.97886,0.81033,0.73282,0.36314,0.82471,0.0006932,0.0006932,0.0006932
35,113.187,0.62355,0.37692,0.85287,0.99055,0.9701,0.97938,0.7979,0.70172,0.37633,0.82344,0.0006536,0.0006536,0.0006536
36,116.147,0.61918,0.3728,0.85625,1,0.94232,0.97853,0.8004,0.73587,0.36015,0.82625,0.000614,0.000614,0.000614
37,119.207,0.60405,0.37909,0.84928,0.98936,0.96296,0.97983,0.80437,0.64414,0.35467,0.81516,0.0005744,0.0005744,0.0005744
38,122.151,0.56831,0.36816,0.84781,0.99885,0.96296,0.97946,0.81518,0.64853,0.34491,0.81613,0.0005348,0.0005348,0.0005348
39,125.042,0.56028,0.36391,0.84877,0.99432,0.96296,0.97933,0.82014,0.6458,0.32984,0.80563,0.0004952,0.0004952,0.0004952
40,127.989,0.58368,0.3621,0.84596,0.9972,0.96296,0.97923,0.81612,0.63392,0.35122,0.80898,0.0004556,0.0004556,0.0004556
41,131.787,0.54928,0.35257,0.82868,1,0.96879,0.97983,0.81746,0.63149,0.33898,0.80484,0.000416,0.000416,0.000416
42,134.713,0.52273,0.33255,0.82487,0.98976,0.98148,0.98717,0.82237,0.61158,0.35002,0.80774,0.0003764,0.0003764,0.0003764
43,137.686,0.5313,0.344,0.82469,0.98019,0.97222,0.97922,0.80803,0.62237,0.34426,0.80393,0.0003368,0.0003368,0.0003368
44,142.929,0.55184,0.33381,0.8278,0.98972,0.97222,0.97945,0.81362,0.62326,0.35199,0.80388,0.0002972,0.0002972,0.0002972
45,146.002,0.54166,0.33748,0.81068,0.9899,0.97222,0.97942,0.8318,0.60658,0.34245,0.80079,0.0002576,0.0002576,0.0002576
46,149.013,0.53574,0.32967,0.83823,0.99056,0.97135,0.97895,0.81903,0.57303,0.34846,0.79671,0.000218,0.000218,0.000218
47,152.368,0.51092,0.3247,0.8266,0.97961,0.97222,0.9792,0.82808,0.56585,0.33801,0.79568,0.0001784,0.0001784,0.0001784
48,155.376,0.52249,0.32359,0.83197,0.99056,0.97177,0.97949,0.82273,0.54892,0.33022,0.79711,0.0001388,0.0001388,0.0001388
49,158.245,0.49308,0.31017,0.81781,0.99025,0.97222,0.97962,0.81421,0.55648,0.32376,0.79768,9.92e-05,9.92e-05,9.92e-05
50,161.097,0.49265,0.31402,0.8115,0.9902,0.97222,0.97969,0.81865,0.56187,0.32111,0.79728,5.96e-05,5.96e-05,5.96e-05
